NAME	DESCRIPTION	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_experimental	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_control
DYNLT3	na	27.36	42.17
SPTSSA	na	40.56	62.51
PRORSD1	na	5.88	9.06
CUTC	na	4.05	6.24
TEFM	na	5.55	8.55
2310036O22RIK	na	114.31	176.04
ANP32B	na	196.92	303.15
ADAM10	na	23.47	36.13
D8ERTD82E	na	1.65	2.54
PLGRKT	na	49.81	76.64
YPEL5	na	20.83	32.05
TMEM223	na	33.4	51.36
GPX8	na	9.15	14.07
TRMT112	na	34.04	52.33
HTATIP2	na	8.86	13.62
CMTM6	na	25.21	38.74
ALG9	na	5.18	7.96
HDAC9	na	0.41	0.63
TRIM29	na	8.65	13.29
SLC52A2	na	3.71	5.7
PSMG4	na	28.53	43.81
LSM14A	na	37.5	57.58
CES2C	na	0.71	1.09
MSL2	na	23.78	36.5
TIGD2	na	9.46	14.51
TOP1	na	29.79	45.69
COL6A5	na	0.3	0.46
ARHGAP10	na	5.84	8.95
HS6ST1	na	22.05	33.79
RBM47	na	1.86	2.85
CAPZB	na	145.57	223.01
SEC22B	na	19.54	29.93
MAGT1	na	10.16	15.55
HNRNPAB	na	170.42	260.73
TUBG1	na	28.05	42.9
RTN4RL1	na	4.35	6.65
TM6SF1	na	21.65	33.09
KRCC1	na	27.79	42.47
PDXP	na	7.69	11.75
ABCD3	na	10.06	15.37
GIT2	na	28.5	43.54
APEH	na	9.88	15.09
B3GALT5	na	2.24	3.42
PLCG2	na	3.0	4.58
NCOA7	na	8.15	12.44
SLC39A4	na	0.57	0.87
AGAP2	na	9.16	13.98
MAGI3	na	5.55	8.47
DNAJB1	na	25.2	38.45
STIM1	na	18.09	27.6
TMCO6	na	4.53	6.91
IPO9	na	9.86	15.03
PDIA4	na	16.55	25.22
AMOTL1	na	3.82	5.82
RNF130	na	35.02	53.34
CBX4	na	13.63	20.76
SET	na	67.46	102.74
AP1M1	na	43.7	66.55
ZNFX1	na	7.44	11.33
NFIB	na	1.76	2.68
FNDC7	na	0.23	0.35
COG8	na	12.07	18.36
KLHL9	na	18.0	27.38
FBXO18	na	8.77	13.34
CYP4V3	na	3.09	4.7
PEMT	na	3.11	4.73
POGLUT1	na	9.43	14.34
PROSER3	na	3.15	4.79
TCEANC2	na	4.4	6.69
CDK4	na	123.98	188.49
ZFP277	na	14.13	21.48
TRAPPC12	na	11.19	17.01
PLSCR3	na	15.16	23.04
MAGOHB	na	11.16	16.96
ARHGAP22	na	1.29	1.96
H2-K2	na	4.18	6.35
ABI3BP	na	1.6	2.43
AVPI1	na	5.36	8.14
SH3GL1	na	23.33	35.42
ROBO1	na	0.83	1.26
SNRK	na	9.79	14.86
VHL	na	9.83	14.92
LSM14B	na	17.57	26.66
OBSL1	na	0.87	1.32
SENP8	na	1.47	2.23
SERF1	na	14.16	21.48
AS3MT	na	7.11	10.78
SDK1	na	0.31	0.47
MFSD14B	na	9.69	14.69
HERC2	na	4.69	7.11
TIGD5	na	0.64	0.97
HCLS1	na	66.58	100.91
UBE2H	na	24.11	36.54
APOO	na	18.25	27.65
PRPS1L3	na	11.67	17.68
RELL1	na	7.34	11.12
PIGW	na	1.69	2.56
ADSL	na	12.86	19.48
TTYH2	na	2.06	3.12
RNF128	na	1.73	2.62
USPL1	na	25.63	38.81
DFFA	na	11.41	17.27
GPAA1	na	7.13	10.79
LYRM1	na	2.63	3.98
RNF114	na	35.18	53.23
DHCR24	na	14.75	22.31
ENOPH1	na	7.2	10.89
ZFP748	na	5.8	8.77
PHF2	na	38.36	57.99
NFKBIB	na	24.57	37.14
RCN1	na	8.35	12.62
EFNB2	na	2.27	3.43
IFT27	na	16.58	25.05
ZCCHC17	na	25.17	38.02
BC052040	na	3.35	5.06
NSG1	na	1.0	1.51
CYB5D1	na	8.22	12.41
MRPS7	na	22.9	34.56
FJX1	na	0.55	0.83
TINF2	na	15.92	24.02
SDHAF2	na	12.47	18.81
HACE1	na	3.72	5.61
TRIM11	na	20.16	30.4
SLC25A23	na	31.91	48.11
BAG5	na	9.87	14.88
MRPL48	na	30.73	46.32
WDR6	na	13.54	20.4
NRBP1	na	35.97	54.19
AOC1	na	0.77	1.16
TSPAN7	na	6.18	9.31
1110065P20RIK	na	6.22	9.37
ITIH4	na	0.79	1.19
SRD5A3	na	9.23	13.9
NOMO1	na	13.44	20.24
DDB2	na	12.15	18.29
RPIA	na	14.85	22.35
IL1R2	na	2.14	3.22
LETMD1	na	22.55	33.93
CD80	na	2.22	3.34
STARD3NL	na	5.85	8.8
SNX5	na	65.25	98.11
TBC1D25	na	4.21	6.33
PTPA	na	41.73	62.74
TXNDC16	na	8.09	12.16
FCNA	na	4.95	7.44
ZFP672	na	11.86	17.82
OXR1	na	28.69	43.1
IL1RN	na	2.77	4.16
PQLC3	na	10.65	15.99
EEF1D	na	51.79	77.74
DPM3	na	51.91	77.87
NDUFB9	na	159.31	238.97
LIPT2	na	1.92	2.88
LRRC39	na	1.02	1.53
ZFP202	na	0.64	0.96
MRPS5	na	34.74	52.1
MRPS36	na	45.35	68.01
TRPC4AP	na	68.49	102.71
RN7SK	na	5.09	7.63
LAT	na	335.97	503.5
PRPS1	na	20.53	30.76
SEC24D	na	5.64	8.45
ISYNA1	na	13.79	20.66
ZFP65	na	5.22	7.82
PSMD11	na	26.03	38.99
SP1	na	17.03	25.5
TRPT1	na	1.67	2.5
UBE2T	na	10.31	15.43
MRPL52	na	109.9	164.47
SPIB	na	5.72	8.56
9130023H24RIK	na	1.37	2.05
GBAS	na	21.76	32.56
SPSB1	na	5.34	7.99
ZFP94	na	1.27	1.9
KLF6	na	16.09	24.07
ZFP36L1	na	51.96	77.73
NUDT15	na	2.34	3.5
PTGES2	na	6.42	9.6
ANAPC11	na	12.39	18.52
CAMK2D	na	5.0	7.47
TLN1	na	28.89	43.16
NEK7	na	20.47	30.57
RRAGA	na	23.33	34.84
CRACR2A	na	1.5	2.24
NELFE	na	20.88	31.18
PEX16	na	14.05	20.98
H2-D1	na	271.16	404.89
ZFP637	na	12.27	18.32
CSK	na	60.43	90.2
SSNA1	na	50.73	75.72
BRWD3	na	7.19	10.73
OAT	na	25.17	37.56
KPNB1	na	43.22	64.49
DHX58	na	4.33	6.46
PRAF2	na	13.12	19.57
SPINK5	na	0.59	0.88
ELOVL5	na	30.03	44.79
ESCO2	na	12.32	18.37
FOXN2	na	6.66	9.93
KDM7A	na	4.42	6.59
DNAJC21	na	10.49	15.64
KRT17	na	39.64	59.1
VMAC	na	15.65	23.33
ZHX2	na	5.16	7.69
MED12L	na	0.51	0.76
LIME1	na	7.33	10.92
PNPLA8	na	11.23	16.73
GPR18	na	4.84	7.21
IL6RA	na	2.82	4.2
WSB2	na	19.54	29.1
LIMA1	na	10.27	15.29
ADGRG2	na	1.33	1.98
CS	na	77.96	115.97
ZFP93	na	1.19	1.77
ITPR1	na	6.32	9.4
PLA2G15	na	4.68	6.96
RPA3	na	51.91	77.19
PTPN13	na	2.28	3.39
MIB2	na	3.93	5.84
ABHD1	na	1.67	2.48
SBDS	na	30.37	45.1
SFT2D1	na	18.51	27.48
PHLDA1	na	6.01	8.92
PCMT1	na	14.39	21.35
LSM1	na	7.84	11.63
MRPS15	na	35.12	52.09
VPS35	na	37.2	55.17
CERS6	na	6.9	10.23
PELI1	na	20.08	29.77
MRPL43	na	29.35	43.51
MRPL44	na	15.53	23.02
GLOD4	na	15.26	22.61
SEMA3A	na	0.27	0.4
LOXL4	na	0.27	0.4
METTL5	na	8.85	13.11
DPY30	na	66.51	98.52
MARCH2	na	31.21	46.22
KLHL21	na	3.1	4.59
QSOX2	na	4.87	7.21
USP15	na	7.62	11.28
ZFP444	na	6.31	9.34
IER5	na	7.67	11.35
NDUFB3	na	53.14	78.63
SESN3	na	9.07	13.42
SMARCD2	na	98.37	145.53
CYBA	na	152.48	225.58
TAF12	na	29.35	43.42
UBTF	na	32.34	47.84
SUPT5	na	38.19	56.45
GLCE	na	3.87	5.72
GM3604	na	1.55	2.29
USMG5	na	328.96	485.66
CALCB	na	2.31	3.41
GTPBP8	na	4.83	7.13
FAM111A	na	17.67	26.08
CALHM2	na	3.39	5.0
IL2RB	na	8.13	11.99
METTL1	na	8.09	11.93
ISY1	na	30.78	45.39
B4GALT4	na	1.96	2.89
MXRA7	na	4.89	7.21
EAF1	na	27.07	39.9
NDFIP1	na	46.06	67.88
EPN2	na	1.9	2.8
PACS2	na	8.17	12.04
CTSF	na	2.45	3.61
SUGCT	na	1.31	1.93
RNASEH2A	na	13.1	19.3
BCL2L12	na	16.65	24.53
SHKBP1	na	10.44	15.38
FLI1	na	20.33	29.94
MGAT5	na	7.94	11.69
TKT	na	105.35	155.09
NFIX	na	7.63	11.23
LCMT2	na	2.65	3.9
DSCR3	na	11.35	16.7
NARF	na	13.2	19.42
GEMIN6	na	6.37	9.37
PAK2	na	19.54	28.74
FHL1	na	4.25	6.25
DNAJC12	na	3.38	4.97
ANP32A	na	104.96	154.3
ADAMTS9	na	1.0	1.47
PLEKHH3	na	0.83	1.22
AFAP1	na	3.64	5.35
ZHX1	na	16.72	24.57
SYCE2	na	22.32	32.78
PRKDC	na	2.07	3.04
SWI5	na	140.27	206.0
ERCC6L	na	4.61	6.77
CEP85	na	12.23	17.96
OSER1	na	18.1	26.58
LRBA	na	3.33	4.89
DBT	na	10.14	14.89
SURF4	na	56.7	83.25
2810025M15RIK	na	2.35	3.45
CERK	na	36.92	54.19
PRICKLE3	na	3.83	5.62
CXCR4	na	113.72	166.84
BRIP1OS	na	16.7	24.5
TPST2	na	12.57	18.44
SOD2	na	15.74	23.09
CHST2	na	0.6	0.88
VRK2	na	11.04	16.19
FBXO31	na	3.93	5.76
MDH2	na	151.96	222.67
KBTBD2	na	11.23	16.45
DYSF	na	0.71	1.04
STOM	na	12.63	18.5
DDX11	na	3.4	4.98
PSAT1	na	41.22	60.37
APBA3	na	7.34	10.75
AP2B1	na	19.57	28.66
LDLRAD4	na	19.83	29.04
MRPL3	na	29.05	42.52
TMEM147	na	33.73	49.36
CASP1	na	6.44	9.42
ARHGEF10	na	3.2	4.68
RANBP1	na	199.48	291.61
NT5C3	na	18.0	26.31
TPD52	na	13.98	20.43
ETL4	na	2.19	3.2
MPV17	na	7.33	10.71
TMEM176B	na	84.32	123.15
GALNT1	na	33.23	48.53
GBA2	na	10.47	15.29
TAF1C	na	6.3	9.2
ELMO1	na	10.41	15.2
ARL16	na	6.29	9.18
NDUFS7	na	59.07	86.19
AP2S1	na	87.59	127.8
GLRX3	na	59.96	87.47
MTFR1	na	11.38	16.6
FDFT1	na	7.4	10.79
CDK5RAP3	na	12.99	18.94
CYB5RL	na	1.31	1.91
PLXNC1	na	3.08	4.49
MTHFD1	na	10.18	14.84
TNNT1	na	4.85	7.07
PHYHD1	na	2.71	3.95
MRPS24	na	34.24	49.9
GM20939	na	1.64	2.39
DERL1	na	25.35	36.94
TSPYL1	na	22.03	32.1
SLC20A1	na	14.25	20.76
CCDC88B	na	11.28	16.43
COA7	na	2.74	3.99
MYB	na	118.38	172.35
LYZ1	na	13.36	19.45
2010107E04RIK	na	235.63	342.99
EMC3	na	39.79	57.91
GOLGA3	na	7.38	10.74
RPL7L1	na	24.72	35.96
DIP2A	na	1.32	1.92
JMJD8	na	14.44	21.0
SULF1	na	4.01	5.83
CTBP2	na	2.49	3.62
GABARAP	na	160.38	233.1
CNST	na	10.92	15.87
GRCC10	na	126.16	183.34
ZAP70	na	42.45	61.68
CD3D	na	193.2	280.7
PDHA1	na	78.85	114.55
FKBP8	na	89.73	130.33
ICAM1	na	15.48	22.48
SLBP	na	42.65	61.93
4930579G24RIK	na	7.59	11.02
RABIF	na	14.37	20.86
2310030G06RIK	na	1.75	2.54
FXN	na	19.17	27.82
FBXL12OS	na	0.82	1.19
TSPAN31	na	17.78	25.8
STEAP3	na	2.86	4.15
PYGB	na	15.92	23.1
OSGIN2	na	3.91	5.67
MTRF1L	na	3.69	5.35
PPP1R35	na	16.88	24.47
SAAL1	na	3.07	4.45
YY1	na	36.09	52.31
SLC9A3R1	na	72.47	105.01
EPB41L1	na	2.05	2.97
ALYREF2	na	3.21	4.65
LRRC14	na	3.66	5.3
GFI1	na	21.05	30.48
BSDC1	na	15.65	22.66
FAM132A	na	5.18	7.5
TMEM167B	na	15.13	21.9
MAPK3	na	38.91	56.32
TMEM134	na	41.84	60.55
RUFY1	na	7.83	11.33
NDUFAF1	na	8.08	11.69
POC1B	na	8.69	12.57
CALCOCO1	na	32.13	46.47
ARPC2	na	240.31	347.54
PHB	na	41.09	59.42
MACF1	na	14.62	21.14
ALKBH6	na	17.09	24.71
UBQLN1	na	36.58	52.89
RPS19BP1	na	14.0	20.24
KCTD7	na	0.92	1.33
MID2	na	1.46	2.11
G3BP1	na	62.05	89.67
MRPL12	na	68.43	98.87
FN3K	na	3.08	4.45
RCOR1	na	13.02	18.81
ABCF3	na	9.13	13.19
CGGBP1	na	25.73	37.17
FGD4	na	0.81	1.17
FBXO25	na	8.17	11.8
RAPGEF6	na	10.91	15.75
1810030O07RIK	na	12.31	17.76
LAMTOR5	na	44.35	63.98
DNAJC1	na	7.14	10.3
TCTA	na	8.89	12.82
USF2	na	54.54	78.64
PSME1	na	144.82	208.79
BET1L	na	8.22	11.85
GM561	na	13.51	19.47
AKTIP	na	10.18	14.67
HDAC1	na	81.01	116.74
GTF2IRD2	na	1.95	2.81
MRGBP	na	13.47	19.41
NDUFS2	na	86.6	124.78
TNXB	na	1.77	2.55
TRIM47	na	2.27	3.27
NEFH	na	2.18	3.14
ZMYND19	na	6.16	8.87
NDUFB4	na	192.08	276.58
CACNA2D4	na	2.16	3.11
ZFP455	na	0.91	1.31
PSMD7	na	39.52	56.89
CTDSP1	na	54.69	78.71
PARK7	na	79.56	114.46
GUCD1	na	11.79	16.96
LY6A	na	56.1	80.7
SPSB3	na	23.09	33.21
WDPCP	na	1.62	2.33
STX1A	na	1.05	1.51
ACSF2	na	9.25	13.3
CRCP	na	20.09	28.88
FBXO8	na	7.68	11.04
BCL10	na	15.21	21.85
NPL	na	6.76	9.71
RMND1	na	11.03	15.84
ADAM19	na	3.12	4.48
PYCR2	na	17.14	24.61
BOLA1	na	12.82	18.4
C2CD2L	na	7.24	10.39
PRPF40B	na	1.54	2.21
ETFDH	na	25.02	35.9
SLC35B2	na	17.39	24.95
NFKBIL1	na	9.09	13.04
CYP2J9	na	1.22	1.75
RUNX2	na	0.76	1.09
RNF187	na	69.46	99.58
ARF5	na	96.98	139.02
RTFDC1	na	36.8	52.74
IL17RA	na	27.99	40.1
B2M	na	1501.71	2150.84
CD300LG	na	4.65	6.66
YIPF2	na	11.06	15.84
A130010J15RIK	na	3.24	4.64
HYAL1	na	3.31	4.74
NFAM1	na	2.5	3.58
AZI2	na	18.43	26.39
PDCD2	na	18.62	26.64
PRDX1	na	152.39	218.01
MRPS17	na	20.37	29.14
ZFP991	na	5.23	7.48
MCL1	na	58.03	82.97
YWHAG	na	21.11	30.18
TIMM17A	na	30.42	43.49
ATP13A3	na	31.91	45.62
USP12	na	12.5	17.87
RANBP3	na	26.21	37.46
PPARD	na	7.55	10.79
TAF1B	na	15.62	22.32
DEGS1	na	29.93	42.76
PIAS4	na	12.18	17.4
NUDCD3	na	15.78	22.54
RMDN2	na	1.17	1.67
2700097O09RIK	na	2.81	4.01
ZFP438	na	2.81	4.01
SELM	na	6.14	8.76
CD274	na	10.97	15.65
TK2	na	9.4	13.41
BCAS2	na	35.64	50.84
1110002L01RIK	na	4.2	5.99
PANK2	na	14.01	19.98
FBXO42	na	5.59	7.97
TRIM65	na	2.49	3.55
BCL2A1A	na	4.84	6.9
PARP1	na	24.33	34.68
NANS	na	27.45	39.12
ARHGEF4	na	1.6	2.28
ACPP	na	2.99	4.26
RAP1GAP	na	1.37	1.95
SEPP1	na	346.44	493.09
GPR107	na	7.09	10.09
IPO11	na	11.04	15.71
SRM	na	20.24	28.8
HADHB	na	85.7	121.94
UFC1	na	40.5	57.62
CDC123	na	34.66	49.31
H2-K1	na	231.25	328.98
ACY1	na	3.1	4.41
FLAD1	na	6.13	8.72
SARNP	na	85.5	121.61
EME2	na	3.79	5.39
ANO8	na	2.18	3.1
INPP5B	na	14.65	20.83
RNF141	na	7.4	10.52
AGPAT2	na	64.63	91.86
SZRD1	na	35.75	50.81
CAMK1	na	6.03	8.57
WDR48	na	17.86	25.38
UBE2G1	na	18.81	26.72
FAM129C	na	1.95	2.77
NRD1	na	29.0	41.19
PTCD3	na	17.11	24.3
AGO4	na	0.43	0.61
AMICA1	na	2.63	3.73
ZFP143	na	11.48	16.28
PSMC5	na	53.3	75.55
ZBTB7A	na	10.83	15.35
NONO	na	215.27	305.07
SRP68	na	33.91	48.05
VKORC1	na	19.72	27.94
CCBE1	na	0.36	0.51
GM10778	na	2.16	3.06
STK25	na	18.1	25.64
APOPT1	na	29.72	42.1
SERTAD3	na	9.03	12.79
ATP6V1B2	na	26.94	38.15
ALDH18A1	na	6.64	9.4
FKBP14	na	0.77	1.09
TFB1M	na	6.09	8.62
SLC35A5	na	4.6	6.51
BCL2A1B	na	23.73	33.56
D6WSU163E	na	7.1	10.04
RAB3A	na	3.24	4.58
ZFP458	na	0.75	1.06
CAPRIN1	na	74.89	105.84
MON2	na	6.51	9.2
CXCL10	na	7.29	10.3
EMP2	na	3.15	4.45
HFE	na	5.48	7.74
SYPL	na	8.9	12.57
NUDT4	na	26.81	37.86
ZFP638	na	14.2	20.05
JKAMP	na	9.7	13.69
KLHDC4	na	9.19	12.97
CPT2	na	12.89	18.19
SDR42E1	na	2.53	3.57
RPP40	na	1.46	2.06
CCDC71	na	16.21	22.87
FLOT2	na	28.24	39.84
AUP1	na	49.72	70.13
FRK	na	0.39	0.55
SLC25A37	na	19.43	27.4
UBE3C	na	8.81	12.42
DAPP1	na	10.13	14.28
CLDN12	na	1.27	1.79
DNAJC24	na	8.06	11.36
HMGN3	na	14.84	20.91
MRPS33	na	45.14	63.6
UQCR11	na	230.81	325.14
UCK1	na	24.73	34.83
COASY	na	9.23	12.99
TMCO1	na	10.34	14.55
DHODH	na	4.57	6.43
EPG5	na	9.28	13.05
SREK1IP1	na	13.5	18.98
DDX47	na	39.69	55.79
OSBPL8	na	20.66	29.04
RCOR2	na	6.61	9.29
DST	na	4.07	5.72
CAPNS1	na	112.11	157.55
TRIM37	na	9.45	13.28
COG7	na	4.92	6.91
CLIC4	na	38.3	53.79
CADM1	na	2.77	3.89
NAGPA	na	6.21	8.72
CCPG1OS	na	6.36	8.93
VPS36	na	33.61	47.18
1700020I14RIK	na	26.13	36.67
ATP6V0A2	na	20.53	28.81
ITM2B	na	387.35	543.53
GLTP	na	59.41	83.34
SESN1	na	29.95	41.99
PCED1B	na	4.04	5.66
RBFOX2	na	2.02	2.83
CD72	na	3.25	4.55
DENND5B	na	0.5	0.7
F8	na	0.3	0.42
PDLIM1	na	58.21	81.47
CLDN5	na	2.98	4.17
ZFP280B	na	5.61	7.85
2310011J03RIK	na	20.34	28.46
GRB2	na	46.37	64.82
NUP210	na	19.63	27.44
FAM220A	na	6.21	8.68
TUBB2A	na	73.77	103.07
FAM83G	na	1.36	1.9
AKIRIN2	na	20.22	28.24
GEMIN4	na	5.28	7.37
SRP54C	na	26.16	36.51
COMMD8	na	11.61	16.2
ADPGK	na	9.39	13.1
ENDOD1	na	4.0	5.58
RGS19	na	28.99	40.44
CAB39L	na	12.79	17.84
NCF2	na	3.6	5.02
PRF1	na	1.42	1.98
CPNE3	na	6.39	8.91
MEAF6	na	16.46	22.95
RIC8A	na	17.83	24.86
MAP3K10	na	5.15	7.18
EDEM3	na	5.75	8.01
POLH	na	8.66	12.06
HSPBAP1	na	2.55	3.55
NUTF2-PS1	na	81.3	113.16
CD300A	na	2.17	3.02
NAT9	na	5.16	7.18
MIS12	na	12.85	17.88
NAT6	na	9.43	13.12
ZFP512	na	8.77	12.2
SSBP4	na	42.38	58.95
RAB3GAP2	na	4.63	6.44
SRSF7	na	57.66	80.19
RNF144B	na	2.33	3.24
PPP6R1	na	90.23	125.47
LRRC75A	na	1.05	1.46
ARV1	na	4.23	5.88
ARPC5	na	136.04	189.09
METTL10	na	15.98	22.21
SMC4	na	86.72	120.51
KCTD12B	na	1.31	1.82
SH3BP5	na	9.35	12.99
HOOK1	na	5.45	7.57
COX11	na	4.22	5.86
CRLS1	na	14.73	20.45
RHOU	na	2.37	3.29
ATP6V0E	na	93.39	129.62
TMEM126B	na	11.11	15.42
CPEB3	na	0.49	0.68
DCAF6	na	9.7	13.46
DNM1	na	0.8	1.11
EIF4A1	na	288.38	400.07
CMAS	na	24.77	34.36
FERMT3	na	58.31	80.88
UTP3	na	38.99	54.08
SUCLA2	na	40.31	55.91
TEN1	na	22.74	31.54
GTF2E2	na	19.18	26.6
UBE2M	na	83.97	116.44
GNB5	na	1.94	2.69
SWT1	na	5.46	7.57
FOXRED2	na	1.76	2.44
SLFN9	na	3.81	5.28
MANSC1	na	1.92	2.66
PNPO	na	7.63	10.57
EEF1G	na	374.75	518.98
DUSP22	na	5.67	7.85
ACO1	na	9.52	13.18
SRF	na	14.05	19.45
CDCA7	na	87.25	120.77
EXOC3L	na	1.38	1.91
EEF1E1	na	24.17	33.44
PPM1G	na	45.77	63.3
NOP56	na	55.23	76.35
RBX1	na	40.25	55.64
ZSCAN2	na	10.2	14.1
GSTT2	na	11.25	15.55
MAN2A1	na	12.69	17.54
WDR61	na	34.64	47.87
DNAJC9	na	50.23	69.38
DYM	na	11.52	15.91
RNH1	na	19.0	26.24
SUCLG2	na	9.01	12.44
PPDPF	na	63.91	88.21
JRK	na	1.0	1.38
DAD1	na	101.08	139.49
RND3	na	4.45	6.14
ATAD2	na	18.33	25.29
MRPS34	na	21.39	29.51
IRF1	na	32.56	44.92
CPLX2	na	0.87	1.2
ETAA1	na	6.54	9.02
SMTN	na	4.96	6.84
NIT2	na	9.34	12.88
SPRED1	na	4.38	6.04
ST3GAL4	na	7.42	10.23
FAM222A	na	2.43	3.35
SETD6	na	4.55	6.27
THADA	na	3.97	5.47
UPF3A	na	20.24	27.88
PPP1R9A	na	0.53	0.73
PALMD	na	3.79	5.22
FBXL8	na	3.26	4.49
ACADS	na	22.09	30.42
ETV5	na	1.91	2.63
BC003965	na	6.05	8.33
BOLA3	na	59.39	81.76
FASTKD1	na	2.82	3.88
FBXO10	na	3.06	4.21
CETN2	na	30.35	41.74
NAB1	na	10.0	13.75
LAMA3	na	3.76	5.17
FRAS1	na	0.16	0.22
SEC62	na	22.36	30.74
AAMP	na	43.54	59.85
OARD1	na	19.83	27.25
DOHH	na	17.98	24.7
RSAD2	na	2.33	3.2
GNG2	na	5.98	8.21
TMEM180	na	2.36	3.24
AW146154	na	2.95	4.05
BLOC1S4	na	6.33	8.69
TMEM184B	na	18.35	25.19
MOB4	na	15.98	21.93
MCM6	na	58.42	80.17
ANKRD28	na	12.12	16.63
PTCD2	na	17.2	23.6
CROT	na	15.16	20.8
MSH2	na	18.94	25.98
ENTPD2	na	2.45	3.36
ZFP821	na	4.58	6.28
RHOBTB1	na	0.97	1.33
SDCCAG8	na	6.12	8.39
CLN8	na	2.86	3.92
NREP	na	2.24	3.07
E2F8	na	19.68	26.97
CD84	na	27.25	37.34
ATIC	na	30.31	41.53
RHOT2	na	13.97	19.14
RAB8B	na	20.78	28.47
YAF2	na	7.19	9.85
UBA2	na	56.72	77.7
CDC42	na	153.21	209.88
OXLD1	na	6.03	8.26
FASTKD5	na	3.87	5.3
ARPC4	na	58.47	80.07
MAT2A	na	57.09	78.15
BCAP31	na	67.39	92.24
GDI1	na	34.96	47.85
TMX3	na	15.84	21.68
ATP6V1C1	na	24.25	33.19
CCSER2	na	8.97	12.27
ZFP85	na	7.53	10.3
TRMT11	na	5.33	7.29
STOML1	na	9.06	12.39
SNX3	na	110.21	150.69
SRFBP1	na	16.34	22.34
ABHD4	na	9.67	13.22
CARF	na	1.8	2.46
ISCU	na	66.33	90.65
BORCS6	na	6.2	8.47
TCOF1	na	41.96	57.32
8430429K09RIK	na	5.0	6.83
SEPT7	na	88.63	121.06
MDK	na	7.88	10.76
ZFP607B	na	0.52	0.71
SLC1A5	na	36.87	50.33
CFAP126	na	2.63	3.59
ABHD17C	na	13.81	18.84
FIGNL1	na	12.28	16.75
DLG3	na	7.94	10.83
TULP3	na	8.5	11.59
SHTN1	na	3.0	4.09
RAI1	na	17.21	23.46
CYB5B	na	32.33	44.07
HAGHL	na	7.11	9.69
USP40	na	3.06	4.17
SEC61B	na	150.52	205.11
DPY19L3	na	6.04	8.23
CXXC5	na	20.66	28.15
SCYL2	na	14.39	19.6
NCOA3	na	11.33	15.43
GM15800	na	5.56	7.57
NXPE4	na	0.72	0.98
ADGRG3	na	1.58	2.15
POLR2G	na	55.28	75.21
SPHK2	na	12.26	16.68
POLR2E	na	42.44	57.73
SMG1	na	19.57	26.62
ZSCAN22	na	3.97	5.4
PPP1CB	na	51.67	70.28
CTR9	na	13.5	18.36
PRKAG1	na	35.7	48.55
TMEM43	na	18.48	25.13
SPTLC2	na	6.17	8.39
RNF122	na	1.53	2.08
IMPA1	na	12.75	17.33
NUP50	na	19.63	26.68
EBP	na	16.85	22.9
NPR2	na	0.78	1.06
ATP5D	na	170.7	231.95
PIGK	na	8.56	11.63
XIAP	na	15.03	20.42
GHITM	na	54.07	73.46
TNFRSF14	na	8.79	11.94
VPS37A	na	5.78	7.85
TBC1D12	na	0.81	1.1
PPM1K	na	3.13	4.25
WDR47	na	2.91	3.95
ZFP747	na	4.31	5.85
FMNL1	na	65.36	88.7
ILF2	na	40.3	54.68
DOK1	na	8.03	10.89
MYO10	na	4.16	5.64
DHCR7	na	18.87	25.58
RNF41	na	8.48	11.49
PRKAB2	na	2.48	3.36
H13	na	49.72	67.36
RNFT1	na	5.53	7.49
SUGP1	na	19.9	26.95
FAM129A	na	5.88	7.96
MYCBP2	na	7.38	9.99
TXLNG	na	11.23	15.2
MEDAG	na	3.37	4.56
C1GALT1C1	na	11.33	15.33
ATP8B4	na	2.21	2.99
PHOSPHO2	na	14.61	19.76
E2F6	na	5.93	8.02
HSF2	na	4.57	6.18
MRPS18A	na	36.88	49.87
CD200R1	na	2.33	3.15
IMP3	na	43.19	58.37
LPP	na	2.22	3.0
PGM1	na	10.22	13.81
RGMA	na	3.39	4.58
KDM4B	na	8.12	10.97
FBXO28	na	9.29	12.55
HCCS	na	11.41	15.41
PLA2G12A	na	16.41	22.16
ZFP738	na	4.34	5.86
ZBTB12	na	3.6	4.86
PRDM15	na	2.83	3.82
YBX1	na	342.96	462.79
LRRC48	na	1.46	1.97
CCDC94	na	8.59	11.59
MAML3	na	1.26	1.7
SNX14	na	6.62	8.93
MSN	na	135.08	182.21
ABCA9	na	0.86	1.16
ARHGAP29	na	4.76	6.42
ATP6V1E1	na	43.45	58.59
GM20300	na	2.21	2.98
RAB35	na	37.83	51.01
BUD31	na	100.85	135.94
ASAH2	na	2.3	3.1
EMC6	na	35.57	47.94
MVB12A	na	29.14	39.27
DCN	na	95.31	128.44
LRR1	na	4.95	6.67
PIGT	na	35.46	47.78
STOML2	na	23.33	31.43
CHMP1A	na	30.19	40.67
CHTOP	na	49.57	66.77
MKNK1	na	17.59	23.69
TMEM258	na	136.74	184.15
PLCL2	na	9.78	13.17
AP2M1	na	77.75	104.7
SMIM7	na	17.03	22.93
VKORC1L1	na	8.66	11.66
OPA3	na	12.33	16.6
UFSP2	na	12.83	17.27
CR1L	na	29.66	39.92
CNOT6L	na	16.42	22.1
